Name  :  Frequency 
+  :  251
-  :  250
1  :  1
10  :  1
2  :  1
90  :  1
a5  :  1
ability  :  3
abit  :  1
able  :  9
aboutgr  :  1
above  :  3
abreast  :  1
absolutely  :  10
access  :  2
accessing  :  1
accessories  :  1
accidentally  :  1
according  :  2
account  :  2
accurate  :  3
achieve  :  1
acknowledged  :  1
across  :  2
activate  :  3
activated  :  1
activation  :  1
active  :  2
actually  :  11
ad  :  1
adapt  :  1
add  :  2
add-ons  :  1
added  :  2
adding  :  2
adjust  :  1
adjustments  :  1
admit  :  2
admitting  :  1
ads  :  1
adv  :  1
advance  :  1
advantages  :  1
advertised  :  3
advice  :  1
advise  :  4
aesthetically  :  2
af  :  1
affect  :  1
aftermarket  :  1
aftermonths  :  1
ag  :  2
again  :  28
against  :  1
aggravating  :  1
ago  :  9
agree  :  2
agreed  :  1
ahead  :  2
aim  :  2
airplane  :  1
ak  :  1
allllllll  :  1
allow  :  1
allows  :  1
almost  :  10
alone  :  2
along  :  2
alot  :  5
already  :  7
alternative  :  1
alternatives  :  1
although  :  3
always  :  18
am  :  1
amazed  :  1
amazing  :  30
amazingly  :  1
amazon  :  12
amoled  :  3
among  :  2
amount  :  2
ampere  :  1
ample  :  1
andgb  :  1
andk  :  3
android  :  28
androidis  :  1
anger  :  1
angle  :  1
animations  :  2
annoy  :  1
annoyed  :  1
annoying  :  4
another  :  14
anout  :  1
answers  :  2
anybody  :  3
anymore  :  3
anyone  :  13
anything  :  6
anytime  :  1
anyway  :  1
anywhere  :  1
ap  :  1
apart  :  1
apostrophe  :  1
app  :  9
apparent  :  2
apparently  :  1
appeared  :  1
appearing  :  1
appearingto  :  1
appears  :  1
apple  :  3
applications  :  2
applied  :  2
approached  :  1
approaching  :  1
approved  :  1
apps  :  47
aps  :  1
area  :  5
areas  :  1
arenot  :  1
arise  :  1
armour  :  1
around  :  10
arrival  :  1
arrived  :  2
art  :  2
as:  :  1
ask  :  5
asleep  :  1
aspect  :  4
aspects  :  1
asset  :  1
assume  :  1
assuming  :  1
assure  :  1
atleast  :  2
atm  :  1
att  :  1
attach  :  1
attempt  :  1
attempting  :  1
audio  :  5
audiobooks  :  1
august  :  1
authentication  :  2
auto  :  7
autocorrect  :  1
autofocus  :  3
automated  :  1
automatically  :  5
available  :  2
average  :  9
avoid  :  1
avoided  :  1
awards  :  1
away  :  8
awesome  :  36
awful  :  1
awhile  :  1
awkward  :  1
back-up  :  2
background  :  2
backup  :  7
backx  :  1
bad  :  28
bad:  :  1
badly  :  1
bag  :  1
ball  :  1
ballin  :  1
band  :  1
banding  :  1
bands  :  1
bar  :  1
barely  :  1
barelyhrs  :  1
bars  :  1
based  :  2
basic  :  2
basis  :  1
batery  :  1
batter  :  1
battery  :  242
battery:  :  1
battrey  :  1
bb  :  1
bcoz  :  2
bcz  :  1
beast  :  4
beautiful  :  17
beautifulp  :  1
beauty  :  1
became  :  1
become  :  2
becomes  :  1
been  :  34
befor  :  1
before  :  17
began  :  2
begin  :  1
behind  :  1
being  :  8
beleive  :  1
believe  :  2
beside  :  1
besides  :  1
best  :  51
bet  :  1
better  :  59
betterp  :  1
bettery  :  1
bettry  :  2
between  :  7
betweenk  :  1
bezel  :  4
bezels  :  3
bff  :  1
bi  :  1
big  :  15
bigger  :  5
biggest  :  3
bill  :  1
bit  :  18
bitten  :  1
bitter  :  1
black  :  5
blackberry  :  4
blackish  :  1
blast  :  1
blaster  :  5
blew  :  1
blindly  :  1
bloat  :  1
bloat-ware  :  1
bloatware  :  3
blocked  :  1
blows  :  2
blue  :  1
bluetooth  :  10
blurred  :  1
blurry  :  1
body  :  4
boo  :  1
boot  :  1
booted  :  1
both  :  12
bothers  :  1
bottom  :  7
bought  :  39
bout  :  1
box  :  10
boy  :  1
brainer  :  1
brand  :  6
branded  :  1
breaker  :  1
breathe  :  1
breathtaking  :  1
bricks  :  1
bright  :  6
brighter  :  2
brightness  :  19
brilliant  :  2
broke  :  6
broken  :  5
brought  :  1
browse  :  1
browsing  :  8
btw  :  2
bug  :  2
buggy  :  3
bugs  :  1
build  :  5
buildings  :  1
built  :  3
bulky  :  1
bull  :  1
bump  :  1
bunch  :  1
burn  :  1
burning  :  1
burns  :  1
burnt  :  1
bursting  :  1
business  :  3
buttery  :  1
button  :  12
buttons  :  19
buy  :  48
buying  :  10
byod  :  1
byop  :  1
bypm  :  1
c  :  1
cable  :  1
cadillac  :  1
calculator  :  1
call  :  12
callers  :  1
calling  :  3
calls  :  15
came  :  11
camera  :  81
cameramah  :  1
cameras  :  2
camry  :  1
canada  :  1
canadian  :  1
cannot  :  10
canot  :  12
cant  :  4
canyon  :  1
capabilities  :  1
capable  :  2
capacitive  :  1
car  :  8
card  :  11
care  :  9
carefully  :  1
carpet  :  1
carrier  :  1
carriers  :  3
carry  :  1
case  :  9
cases  :  1
cash  :  1
casing  :  1
casual  :  1
cat6  :  1
catching  :  1
cause  :  7
caused  :  1
causes  :  1
cautioned  :  1
cell  :  5
cellphone  :  3
celluar  :  1
cent  :  2
center  :  4
cents  :  1
certain  :  3
